film_title,category_name,rental_duration,ntile
Storm Happiness,Animation,7,27
Champion Flatliners,Animation,2,27
Room Roman,Animation,6,27
Tracy Cider,Animation,6,27
Tracy Cider,Animation,5,27
Snowman Rollercoaster,Animation,4,27
Titanic Boondock,Animation,1,27
Oz Liaisons,Animation,6,28
Forrester Comancheros,Animation,7,28
Room Roman,Animation,10,28
Dares Pluto,Animation,8,28
Anaconda Confessions,Animation,4,28
Canyon Stock,Animation,5,28
Packer Madigan,Animation,2,28
Champion Flatliners,Animation,6,28
Flying Hook,Animation,8,28
Juggler Hardly,Animation,6,28
Duck Racer,Animation,2,28
Blackout Private,Animation,2,28
Luke Mummy,Animation,5,29
Blackout Private,Animation,8,29
Ghostbusters Elf,Animation,8,29
Pride Alamo,Animation,3,29
Gangs Pride,Animation,6,29
Storm Happiness,Animation,7,29
Hook Chariots,Animation,8,29
Clash Freddy,Animation,8,29
Bikini Borrowers,Animation,8,29
Doors President,Animation,9,29
Turn Star,Animation,7,29
Watch Tracy,Animation,3,29
Watch Tracy,Animation,4,30
Sunrise League,Animation,7,30
Oz Liaisons,Animation,2,30
Titanic Boondock,Animation,5,30
Hook Chariots,Animation,4,30
Bikini Borrowers,Animation,9,30
Oz Liaisons,Animation,5,30
Storm Happiness,Animation,1,30
Gangs Pride,Animation,2,30
Donnie Alley,Animation,4,30
Canyon Stock,Animation,6,30
Falcon Volume,Animation,4,30
Harper Dying,Animation,1,31
Alter Victory,Animation,5,31
Carol Texas,Animation,7,31
Snowman Rollercoaster,Animation,7,31
Lawless Vision,Animation,2,31
Oscar Gold,Animation,3,31
Crossroads Casualties,Animation,2,31
Clash Freddy,Animation,4,31
Juggler Hardly,Animation,7,31
Tracy Cider,Animation,5,31
Flying Hook,Animation,9,31
Flying Hook,Animation,7,31
Anaconda Confessions,Animation,4,32
Thief Pelican,Animation,8,32
Insects Stone,Animation,3,32
Ghostbusters Elf,Animation,5,32
Ishtar Rocketeer,Animation,5,32
Turn Star,Animation,5,32
Pond Seattle,Animation,,32
Flying Hook,Animation,6,32
Watch Tracy,Animation,9,32
Wonka Sea,Animation,1,32
Champion Flatliners,Animation,3,32
Potter Connecticut,Animation,1,32
Forrester Comancheros,Animation,4,33
Borrowers Bedazzled,Animation,7,33
Canyon Stock,Animation,2,33
Forrester Comancheros,Animation,7,33
Carol Texas,Animation,4,33
Thief Pelican,Animation,1,33
Watch Tracy,Animation,2,33
Borrowers Bedazzled,Animation,5,33
Storm Happiness,Animation,5,33
Double Wrath,Animation,8,33
Pride Alamo,Animation,5,33
Watch Tracy,Animation,1,33
Sleepless Monsoon,Animation,3,34
Menagerie Rushmore,Animation,7,34
Donnie Alley,Animation,6,34
Inch Jet,Animation,8,34
Juggler Hardly,Animation,5,34
Horn Working,Animation,3,34
Oz Liaisons,Animation,3,34
Miracle Virtual,Animation,5,34
Potter Connecticut,Animation,6,34
Falcon Volume,Animation,5,34
Juggler Hardly,Animation,6,34
Room Roman,Animation,1,34
Doors President,Animation,3,35
Alter Victory,Animation,1,35
Telemark Heartbreakers,Animation,2,35
Telemark Heartbreakers,Animation,9,35
Luke Mummy,Animation,5,35
Lawless Vision,Animation,8,35
Falcon Volume,Animation,4,35
Oscar Gold,Animation,3,35
Titanic Boondock,Animation,2,35
Desire Alien,Animation,2,35
Oscar Gold,Animation,5,35
Oscar Gold,Animation,6,35
Tracy Cider,Animation,9,36
Donnie Alley,Animation,8,36
Watch Tracy,Animation,4,36
Turn Star,Animation,5,36
Nash Chocolat,Animation,5,36
Turn Star,Animation,2,36
Carol Texas,Animation,1,36
Carol Texas,Animation,6,36
Club Graffiti,Animation,6,36
Harper Dying,Animation,8,36
Potluck Mixed,Animation,6,36
Clash Freddy,Animation,3,36
Double Wrath,Animation,9,37
Lawless Vision,Animation,8,37
Punk Divorce,Animation,3,37
Thief Pelican,Animation,8,37
Storm Happiness,Animation,3,37
Carol Texas,Animation,4,37
Hook Chariots,Animation,3,37
Horn Working,Animation,2,37
Sleepless Monsoon,Animation,8,37
Dogma Family,Animation,2,37
Lawless Vision,Animation,8,37
Blackout Private,Animation,1,37
Blackout Private,Animation,3,38
Room Roman,Animation,4,38
Carol Texas,Animation,5,38
Telemark Heartbreakers,Animation,1,38
Alter Victory,Animation,1,38
Carol Texas,Animation,3,38
Sleepless Monsoon,Animation,9,38
Forrester Comancheros,Animation,8,38
Hook Chariots,Animation,9,38
Clash Freddy,Animation,6,38
Nash Chocolat,Animation,4,38
Blackout Private,Animation,8,38
Clash Freddy,Animation,8,39
Packer Madigan,Animation,6,39
Forrester Comancheros,Animation,6,39
Room Roman,Animation,5,39
Alter Victory,Animation,6,39
Canyon Stock,Animation,2,39
Sugar Wonka,Animation,7,39
Borrowers Bedazzled,Animation,5,39
Potluck Mixed,Animation,5,39
Borrowers Bedazzled,Animation,3,39
Anaconda Confessions,Animation,5,39
Oz Liaisons,Animation,7,39
Gangs Pride,Animation,9,40
Double Wrath,Animation,3,40
Pond Seattle,Animation,7,40
Wonka Sea,Animation,5,40
Sunrise League,Animation,2,40
Inch Jet,Animation,8,40
Potluck Mixed,Animation,4,40
Sunrise League,Animation,9,40
Crossroads Casualties,Animation,1,40
Alter Victory,Animation,9,40
Wait Cider,Animation,9,40
Sleepless Monsoon,Animation,6,40
Borrowers Bedazzled,Animation,7,41
Alter Victory,Animation,5,41
Storm Happiness,Animation,1,41
Juggler Hardly,Animation,10,41
Wonka Sea,Animation,9,41
Crossroads Casualties,Animation,1,41
Juggler Hardly,Animation,7,41
Falcon Volume,Animation,8,41
Double Wrath,Animation,2,41
Room Roman,Animation,1,41
Pride Alamo,Animation,2,41
Titanic Boondock,Animation,8,41
Tracy Cider,Animation,4,42
Crossroads Casualties,Animation,6,42
Gangs Pride,Animation,4,42
Pond Seattle,Animation,2,42
Champion Flatliners,Animation,8,42
Theory Mermaid,Animation,1,42
Dogma Family,Animation,2,42
Oz Liaisons,Animation,2,42
Sunrise League,Animation,9,42
Telemark Heartbreakers,Animation,6,42
Crossroads Casualties,Animation,3,42
Dares Pluto,Animation,2,42
Flying Hook,Animation,1,43
Falcon Volume,Animation,6,43
Falcon Volume,Animation,6,43
Wait Cider,Animation,9,43
Clash Freddy,Animation,8,43
Sugar Wonka,Animation,4,43
Room Roman,Animation,5,43
Forrester Comancheros,Animation,2,43
Insects Stone,Animation,2,43
Sunrise League,Animation,8,43
Anaconda Confessions,Animation,6,43
Sunrise League,Animation,6,43
Snowman Rollercoaster,Animation,9,44
Fight Jawbreaker,Animation,2,44
Oz Liaisons,Animation,4,44
Packer Madigan,Animation,9,44
Harper Dying,Animation,7,44
Nash Chocolat,Animation,8,44
Early Home,Animation,5,44
Oscar Gold,Animation,2,44
Club Graffiti,Animation,9,44
Punk Divorce,Animation,9,44
Packer Madigan,Animation,9,44
Double Wrath,Animation,6,44
Forrester Comancheros,Animation,10,45
Ishtar Rocketeer,Animation,10,45
Dogma Family,Animation,4,45
Snowman Rollercoaster,Animation,5,45
Champion Flatliners,Animation,1,45
Massage Image,Animation,9,45
Intentions Empire,Animation,5,45
Champion Flatliners,Animation,6,45
Titanic Boondock,Animation,1,45
Mission Zoolander,Animation,1,45
Wait Cider,Animation,7,45
Ghostbusters Elf,Animation,2,45
Blackout Private,Animation,6,46
Dogma Family,Animation,5,46
Punk Divorce,Animation,1,46
Snowman Rollercoaster,Animation,6,46
Gangs Pride,Animation,4,46
Wonka Sea,Animation,5,46
Room Roman,Animation,1,46
Flying Hook,Animation,8,46
Duck Racer,Animation,5,46
Titanic Boondock,Animation,2,46
Telemark Heartbreakers,Animation,4,46
Blackout Private,Animation,1,46
Flying Hook,Animation,9,47
Insects Stone,Animation,1,47
Storm Happiness,Animation,9,47
Tracy Cider,Animation,8,47
Massage Image,Animation,6,47
Clash Freddy,Animation,3,47
Pond Seattle,Animation,5,47
Doors President,Animation,3,47
Anaconda Confessions,Animation,3,47
Donnie Alley,Animation,3,47
Storm Happiness,Animation,8,47
Wonka Sea,Animation,2,47
Intentions Empire,Animation,2,48
Pond Seattle,Animation,9,48
Tracy Cider,Animation,2,48
Alter Victory,Animation,9,48
Horn Working,Animation,7,48
Anaconda Confessions,Animation,1,48
Horn Working,Animation,1,48
Storm Happiness,Animation,8,48
Borrowers Bedazzled,Animation,9,48
Juggler Hardly,Animation,3,48
Juggler Hardly,Animation,9,48
Harper Dying,Animation,6,48
Telemark Heartbreakers,Animation,2,49
Harper Dying,Animation,3,49
Juggler Hardly,Animation,9,49
Wait Cider,Animation,6,49
Potter Connecticut,Animation,7,49
Anaconda Confessions,Animation,4,49
Pond Seattle,Animation,8,49
Anaconda Confessions,Animation,6,49
Packer Madigan,Animation,3,49
Luke Mummy,Animation,9,49
Clash Freddy,Animation,7,49
Clash Freddy,Animation,6,49
Potter Connecticut,Animation,1,50
Thief Pelican,Animation,1,50
Wonka Sea,Animation,3,50
Telemark Heartbreakers,Animation,7,50
Borrowers Bedazzled,Animation,6,50
Flying Hook,Animation,8,50
Snowman Rollercoaster,Animation,4,50
Lawless Vision,Animation,3,50
Thief Pelican,Animation,5,50
Oz Liaisons,Animation,3,50
Pride Alamo,Animation,,50
Gangs Pride,Animation,5,50
Lawless Vision,Animation,1,51
Inch Jet,Animation,7,51
Clash Freddy,Animation,8,51
Club Graffiti,Animation,2,51
Pride Alamo,Animation,5,51
Horn Working,Animation,2,51
Inch Jet,Animation,5,51
Sleepless Monsoon,Animation,3,51
Oz Liaisons,Animation,4,51
Borrowers Bedazzled,Animation,6,51
Intentions Empire,Animation,2,51
Falcon Volume,Animation,9,51
Telemark Heartbreakers,Animation,1,52
Dogma Family,Animation,9,52
Oscar Gold,Animation,3,52
Sugar Wonka,Animation,4,52
Forrester Comancheros,Animation,6,52
Telemark Heartbreakers,Animation,9,52
Dogma Family,Animation,5,52
Dares Pluto,Animation,2,52
Sugar Wonka,Animation,1,52
Storm Happiness,Animation,4,52
Potluck Mixed,Animation,4,52
Juggler Hardly,Animation,7,52
Club Graffiti,Animation,2,53
Donnie Alley,Animation,7,53
Mission Zoolander,Animation,5,53
Juggler Hardly,Animation,9,53
Potter Connecticut,Animation,9,53
Wait Cider,Animation,2,53
Pride Alamo,Animation,3,53
Storm Happiness,Animation,1,53
Blackout Private,Animation,4,53
Nash Chocolat,Animation,4,53
Double Wrath,Animation,3,53
Desire Alien,Animation,5,53
Turn Star,Animation,2,54
Horn Working,Animation,1,54
Sons Interview,Animation,1,54
Hook Chariots,Animation,5,54
Oscar Gold,Animation,9,54
Tracy Cider,Animation,5,54
Fight Jawbreaker,Animation,7,54
Doors President,Animation,5,54
Bikini Borrowers,Animation,5,54
Insects Stone,Animation,6,54
Miracle Virtual,Animation,1,54
Canyon Stock,Animation,9,54
Hook Chariots,Animation,9,55
Dogma Family,Animation,5,55
Titanic Boondock,Animation,9,55
Sugar Wonka,Animation,5,55
Falcon Volume,Animation,8,55
Blackout Private,Animation,1,55
Sleepless Monsoon,Animation,4,55
Snowman Rollercoaster,Animation,7,55
Bikini Borrowers,Animation,6,55
Blackout Private,Animation,8,55
Doors President,Animation,8,55
Juggler Hardly,Animation,6,55
Snowman Rollercoaster,Animation,4,56
Mission Zoolander,Animation,6,56
Oscar Gold,Animation,5,56
Sons Interview,Animation,3,56
Insects Stone,Animation,3,56
Packer Madigan,Animation,4,56
Dogma Family,Animation,2,56
Clash Freddy,Animation,5,56
Potter Connecticut,Animation,8,56
Miracle Virtual,Animation,3,56
Desire Alien,Animation,1,56
Theory Mermaid,Animation,5,56
Tracy Cider,Animation,9,57
Double Wrath,Animation,8,57
Packer Madigan,Animation,7,57
Donnie Alley,Animation,9,57
Pride Alamo,Animation,3,57
Crossroads Casualties,Animation,5,57
Watch Tracy,Animation,5,57
Massage Image,Animation,5,57
Sleepless Monsoon,Animation,2,57
Intentions Empire,Animation,1,57
Potter Connecticut,Animation,4,57
Packer Madigan,Animation,2,57
Sunrise League,Animation,3,58
Oscar Gold,Animation,1,58
Sunrise League,Animation,8,58
Nash Chocolat,Animation,9,58
Gangs Pride,Animation,5,58
Clash Freddy,Animation,3,58
Tracy Cider,Animation,7,58
Harper Dying,Animation,5,58
Canyon Stock,Animation,5,58
Horn Working,Animation,8,58
Turn Star,Animation,7,58
Harper Dying,Animation,5,58
Mission Zoolander,Animation,6,59
Desire Alien,Animation,7,59
Sunrise League,Animation,4,59
Alter Victory,Animation,9,59
Snowman Rollercoaster,Animation,1,59
Fight Jawbreaker,Animation,1,59
Lawless Vision,Animation,3,59
Titanic Boondock,Animation,2,59
Gangs Pride,Animation,2,59
Luke Mummy,Animation,9,59
Gangs Pride,Animation,2,59
Club Graffiti,Animation,9,59
Early Home,Animation,4,60
Harper Dying,Animation,2,60
Oscar Gold,Animation,3,60
Room Roman,Animation,7,60
Gangs Pride,Animation,2,60
Wonka Sea,Animation,1,60
Forrester Comancheros,Animation,9,60
Oz Liaisons,Animation,2,60
Potter Connecticut,Animation,6,60
Horn Working,Animation,9,60
Dogma Family,Animation,4,60
Fight Jawbreaker,Animation,7,60
Borrowers Bedazzled,Animation,6,61
Gangs Pride,Animation,8,61
Insects Stone,Animation,4,61
Bikini Borrowers,Animation,6,61
Menagerie Rushmore,Animation,6,61
Falcon Volume,Animation,6,61
Titanic Boondock,Animation,8,61
Watch Tracy,Animation,9,61
Hook Chariots,Animation,2,61
Flying Hook,Animation,9,61
Pond Seattle,Animation,7,61
Nash Chocolat,Animation,8,61
Wait Cider,Animation,2,62
Borrowers Bedazzled,Animation,7,62
Oz Liaisons,Animation,6,62
Gangs Pride,Animation,7,62
Crossroads Casualties,Animation,2,62
Juggler Hardly,Animation,2,62
Sons Interview,Animation,9,62
Mission Zoolander,Animation,3,62
Blackout Private,Animation,1,62
Early Home,Animation,4,62
Sunrise League,Animation,3,62
Bikini Borrowers,Animation,2,62
Fight Jawbreaker,Animation,3,63
Wonka Sea,Animation,10,63
Gangs Pride,Animation,4,63
Early Home,Animation,4,63
Double Wrath,Animation,7,63
Inch Jet,Animation,2,63
Theory Mermaid,Animation,4,63
Ghostbusters Elf,Animation,7,63
Gangs Pride,Animation,3,63
Insects Stone,Animation,2,63
Pond Seattle,Animation,2,63
Tracy Cider,Animation,9,63
Fight Jawbreaker,Animation,6,64
Nash Chocolat,Animation,1,64
Potter Connecticut,Animation,6,64
Borrowers Bedazzled,Animation,5,64
Alter Victory,Animation,5,64
Anaconda Confessions,Animation,1,64
Oscar Gold,Animation,4,64
Crossroads Casualties,Animation,4,64
Wonka Sea,Animation,9,64
Wait Cider,Animation,4,64
Donnie Alley,Animation,5,64
Anaconda Confessions,Animation,5,64
Intentions Empire,Animation,9,65
Ghostbusters Elf,Animation,8,65
Inch Jet,Animation,4,65
Turn Star,Animation,7,65
Punk Divorce,Animation,9,65
Oz Liaisons,Animation,1,65
Canyon Stock,Animation,5,65
Mission Zoolander,Animation,1,65
Clash Freddy,Animation,6,65
Club Graffiti,Animation,5,65
Room Roman,Animation,5,65
Nash Chocolat,Animation,6,65
Intentions Empire,Animation,,66
Watch Tracy,Animation,6,66
Fight Jawbreaker,Animation,3,66
Sons Interview,Animation,4,66
Sunrise League,Animation,2,66
Horn Working,Animation,1,66
Telemark Heartbreakers,Animation,2,66
Gangs Pride,Animation,2,66
Massage Image,Animation,8,66
Inch Jet,Animation,4,66
Lawless Vision,Animation,6,66
Titanic Boondock,Animation,3,66
Titanic Boondock,Animation,9,67
Storm Happiness,Animation,2,67
Titanic Boondock,Animation,2,67
Miracle Virtual,Animation,7,67
Intentions Empire,Animation,3,67
Juggler Hardly,Animation,4,67
Packer Madigan,Animation,5,67
Gangs Pride,Animation,6,67
Blackout Private,Animation,1,67
Packer Madigan,Animation,3,67
Tracy Cider,Animation,9,67
Pride Alamo,Animation,1,68
Luke Mummy,Animation,1,68
Clash Freddy,Animation,2,68
Crossroads Casualties,Animation,5,68
Potter Connecticut,Animation,7,68
Crossroads Casualties,Animation,2,68
Borrowers Bedazzled,Animation,9,68
Packer Madigan,Animation,3,68
Carol Texas,Animation,9,68
Snowman Rollercoaster,Animation,3,68
Telemark Heartbreakers,Animation,8,68
Dares Pluto,Animation,7,69
Borrowers Bedazzled,Animation,2,69
Horn Working,Animation,8,69
Pond Seattle,Animation,7,69
Doors President,Animation,8,69
Titanic Boondock,Animation,2,69
Bikini Borrowers,Animation,9,69
Sleepless Monsoon,Animation,9,69
Club Graffiti,Animation,5,69
Potluck Mixed,Animation,2,69
Ghostbusters Elf,Animation,3,69
Telemark Heartbreakers,Animation,10,70
Bikini Borrowers,Animation,8,70
Clash Freddy,Animation,2,70
Sugar Wonka,Animation,2,70
Storm Happiness,Animation,3,70
Alter Victory,Animation,7,70
Alter Victory,Animation,5,70
Wait Cider,Animation,7,70
Borrowers Bedazzled,Animation,4,70
Alter Victory,Animation,2,70
Gangs Pride,Animation,5,70
Horn Working,Animation,1,71
Blackout Private,Animation,2,71
Donnie Alley,Animation,1,71
Tracy Cider,Animation,2,71
Intentions Empire,Animation,7,71
Dogma Family,Animation,1,71
Storm Happiness,Animation,3,71
Intentions Empire,Animation,8,71
Dogma Family,Animation,8,71
Oz Liaisons,Animation,5,71
Dares Pluto,Animation,5,71
Massage Image,Animation,7,72
Carol Texas,Animation,7,72
Oz Liaisons,Animation,2,72
Titanic Boondock,Animation,3,72
Pride Alamo,Animation,,72
Flying Hook,Animation,9,72
Canyon Stock,Animation,9,72
Snowman Rollercoaster,Animation,7,72
Room Roman,Animation,1,72
Double Wrath,Animation,1,72
Gangs Pride,Animation,1,72
